 ,Tribes ID,# avis Glassdoor,Note Glassdoor,Classements,Secteur,Business,Business Model,Cible,Fonds,Dernière levée (M€),Linkedin,Création,# employés,# d'employés,Domaine,Website,WTTJ,Mail type,Revenus,Croissance /an,Certification RH
Synapse Medicine,01yCi1GOT,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"XAnge, BNP Paribas Developpement, Kima Ventures, Bpifrance, Région Nouvelle-Aquitaine","2,5",https://fr.linkedin.com/company/synapse-medicine/,2017,11-50,18,synapse-medicine.com,https://synapse-medicine.com/,,,-,n.a.,-
AlgoTherapeutix,01yChjpKQ,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,-,"2,6",https://fr.linkedin.com/company/algotherapeutix/,2018,2-10,20,algotx.com,https://algotx.com/,,,-,n.a.,-
Privateaser,02L79bMKQ,27,"4,6",-,Divertissement,Privatisation et reservation gratuite en ligne plus de 5000 bars et restaurants.,Marketplace,B2B,-,,https://www.linkedin.com/company/5273950,2014,11-50,,privateaser.com,https://www.privateaser.com,,prénom@privateaser.com,-,n.a.,-
ProcSea,01yCiRp,-,n.a.,-,Foodtech,"ProcSea la plateforme en ligne pour les professionnels qui regroupe pêcheurs, mareyeurs et producteurs",Marketplace,B2B,"Serena Capital, Cap Horn, FJ Labs, Samaipata Ventures, Alpana Ventures, Piton Capital","6,5",https://www.linkedin.com/company/procsea/,2016,51-200,40,procsea.com,https://procsea.com/,,,-,n.a.,-
Prophesee,029XMj3ti,4,"4,6",-,Med / Biotech,Med / Biotech,Produit,B2C,"Banque européenne d'investissement, iBionext360 Capital Partners, Robert Bosch Venture Capital, Supernova Invest","25,0",https://fr.linkedin.com/company/chronocam,2014,51-200,130,prophesee.ai,https://www.prophesee.ai/,,,-,n.a.,-
Proprioo,01yCiMN,2,3,-,Immobilier,Agence Immobilière - Accompagnement personnalisé‎,Service,B2C,"GFC, Rocket Internet, Picus Capital","20,0",https://www.linkedin.com/company/11207568,2017,51-200,115,proprioo.fr,https://www.proprioo.fr,,prénom@proprioo.fr,-,n.a.,-
Prose,02OD6aUC2,21,"4,7",-,Autres,"Your best hair starts with custom haircare.
",Produit,B2C,-,,https://www.linkedin.com/company/hairprose/,2017,51-200,-,prose.com,https://prose.com/,,,-,n.a.,-
Proviridis,01m4RPs,-,n.a.,-,Greentech,PROVIRIDIS met en place des infrastructures innovantes de distribution de carburants propres,Service,B2B,"Demeter, la Banque des Territoires","19,0",https://www.linkedin.com/company/proviridis/,2012,11-50,100,proviridis.fr,https://www.proviridis.fr/,,,-,n.a.,-
Proximis,01yChoJPM,2,"3,7",-,Ecommerce,"Équipement des vendeurs, e-commerce, gestion des commandes, partage des données…",SaaS,B2B,-,,https://www.linkedin.com/company/proximis,2013,51-200,22,proximis.com,https://www.proximis.com/,,,-,n.a.,-
Exelus (Nomadeec),01m4RPCmt,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Groupe Orpea,"3,0",https://www.linkedin.com/company/nomadeec/,2014,11-50,20,nomadeec.com,http://nomadeec.com/,,,-,n.a.,-
NG Biotech,01m4ROf3s,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Fonds Arbevel Life Sciences Crossover, Kreizig Invest","3,0",https://www.linkedin.com/company/ng-biotech/,2012,11-50,20,ngbiotech.com,https://ngbiotech.com/,,,-,n.a.,-
QAPA,02MIvnYPs,40,"3,3",FT 120,RH,L'intérim en 1 clic,Marketplace,B2B,-,,https://www.linkedin.com/company/2245800,2011,11-50,-,qapa.fr,https://www.qapa.fr/recruteur?partner=551,,,-,n.a.,-
Sim&Cure,02L77pQjb,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Elaia, IT Translation","3,0",https://www.linkedin.com/company/sim&cure/,2014,11-50,20,sim-and-cure.com,https://sim-and-cure.com/,,,-,n.a.,-
Qare,02N5bHlg1,3,"4,7",FT 120,Marketing,Médecin en RdV Vidéo - Votre Consultation en 5 min‎,SaaS,B2B,Kamet Ventures,"20,0",https://www.linkedin.com/company/17963966,2016,51-200,-,qare.fr,http://www.qare.fr,,prénom.nom@qare.fr,-,n.a.,-
Sublimed,01yCiKQPT,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,-,"3,0",https://fr.linkedin.com/company/sublimed/,2015,11-50,20,subli-med.fr,https://subli-med.fr/,,,-,n.a.,-
Qonto,01yCiPtQQ,37,"4,4",FT 120,Fintech,Qonto Compte Pro en Ligne - Entreprises & Indépendants‎,SaaS,B2B,"Tencent, DST Global, Valar, Alven","104,0",https://www.linkedin.com/company/13205888,2016,201-500,-,qonto.eu,http://qonto.eu,,prénom@qonto.eu,-,n.a.,-
Tridek-One,01yCiRFBv,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Advent France Biotechnology, Advent Life Sciences","3,0",https://fr.linkedin.com/company/tridek-one/,2018,2-10,21,tridekone.com,https://tridekone.com/,,,-,n.a.,-
Quantum Surgical,01yCiKQxf,-,n.a.,-,Med / Biotech,Minimally invasive liver cancer treatment,Autres,B2B,-,,https://www.linkedin.com/company/quantumsurgical/,2017,51-200,,quantumsurgical.com,https://quantumsurgical.com/,,,-,n.a.,-
TheraPanacea,02N6Bc90j,1,5,-,Med / Biotech,Med / Biotech,Produit,B2C,Therinvest,"3,5",https://www.linkedin.com/company/therapc/,2017,11-50,24,therapanacea.eu,https://www.therapanacea.eu/,,,-,n.a.,-
Yukin Therapeutics,02EK8Bvr7,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Advent France Biotechnology, Medicxi","3,3",https://www.linkedin.com/company/yukin-therapeutics/,n.a.,2-10,24,,,,,-,n.a.,-
Rakuten,01m4RPTKV,1100,"2,1",-,Marketing,Achat et vente neuf ou d'occasion,Marketplace,B2C,-,,https://www.linkedin.com/company/47584,1997,1001-5000,30,global.rakuten.com,https://global.rakuten.com/corp/,,prénom.nom@priceminister.com,-,n.a.,-
Implicity,01yChxfKV,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Serena Capital, XAnge, Siparex, Cap Décisif Management","4,0",https://www.linkedin.com/company/11210598,2016,11-50,25,implicity.com,http://www.implicity.com,,,-,n.a.,-
Recommerce,01m4RPMjl,-,n.a.,-,Marketing,Smartphones Reconditionnés‎,Marketplace,B2C,-,,https://www.linkedin.com/company/464825,2009,51-200,-,recommerce-group.com,http://www.recommerce-group.com,,,-,n.a.,-
Recommerce Solutions,01m4RPC,5,"3,7",Next 40,Ecommerce,Smartphones Reconditionnés‎,Marketplace,B2C,-,,https://www.linkedin.com/company/464825,2009,51-200,-,recommerce-group.com,http://www.recommerce-group.com,,,-,n.a.,-
RegenLife,01yCiMXQu,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Business angels,"3,0",https://www.linkedin.com/company/regenlife/,2016,51-200,20,regenlife.com,https://regenlife.com/,,,-,n.a.,-
Remedee Labs,02TvLmtoT,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Hardware Club, Habert-Dassault Finance, Partech, C4 Ventures, Supernova Invest","11,0",https://www.linkedin.com/company/remedeelabs/,2016,11-50,65,remedeelabs.com,https://remedeelabs.com/,,,-,n.a.,-
Pili,02IZAjbPb,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Elaia, SOSV, investisseurs privés, business angels, BPI France","3,6",https://www.linkedin.com/company/pili/,2015,11-50,25,pili.bio,https://www.pili.bio/,,,-,n.a.,-
Alpinov X,02L7BXBpQ,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,EIT InnoEnergy,"4,8",https://www.linkedin.com/company/alpinov-x/,2017,11-50,28,alpinovx.com,https://alpinovx.com/,,,-,n.a.,-
LNC Therapeutics,01yCiKVjl,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Seventure Partners,"4,9",https://www.linkedin.com/company/lnc-therapeutics/,2010,11-50,28,lnc.bio,https://www.lnc.bio/,,,-,n.a.,-
Deeplink Medical,02Kg5tiVa,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,BNP Paribas,"5,0",https://fr.linkedin.com/company/deeplinkmedical,2014,11-50,30,deeplink-medical.com,https://www.deeplink-medical.com/,,,-,n.a.,-
Novadiscovery,02L7BABZM,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,Debiopharm Innovation Fund,"5,0",https://www.linkedin.com/company/novadiscovery/,2010,11-50,30,novadiscovery.com,https://www.novadiscovery.com/,,,-,n.a.,-
Robocath,026BMMjPC,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Go Capital, NCI, Normandie Participations, M Capital, Supernova Invest, Caisse d’Epargne Normandie Innovation, Crédit Agricole Innove en Normandie, Unexo","5,0",https://www.linkedin.com/company/robocathrone/,2009,11-50,30,robocath.com,https://www.robocath.com/,,,-,n.a.,-
Therapixel,01m4RPM6D,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Omnes, M Capital Partners","5,0",https://www.linkedin.com/company/therapixel/,2013,11-50,30,therapixel.com,https://www.therapixel.com/,,,-,n.a.,-
S4M,02N6wYCPL,17,"3,6",FT 120,Marketing,The Drive-to-Store Platform,SaaS,B2B,-,,https://www.linkedin.com/company/2982107,2011,51-200,-,s4m.io,http://www.s4m.io,,,-,n.a.,-
Tribvn Healthcare,02L79bMpc,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,LBO France,"5,0",https://www.linkedin.com/company/tribvn-healthcare-sas/,2016,11-50,30,tribvn-hc.com,https://www.tribvn-hc.com/,https://www.welcometothejungle.com/fr/companies/tribvn,,-,n.a.,-
Saegus,01yChtrNh,16,"3,6",Top Linkedin,Conseil / fonds,ConsulTech qui réinvente le conseil aux entreprises,Service,B2B,-,,https://www.linkedin.com/company/saegus/,2014,51-200,,saegus.com,https://saegus.com/fr/,,,-,n.a.,-
FineHeart,01yChpcoJ,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Longview, Doliam","5,4",https://www.linkedin.com/company/fineheart/,2010,11-50,34,fineheart.fr,http://fineheart.fr/,,,-,n.a.,-
Incepto,026B0Axj3,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"AXA Venture Partners, Bpifrance, CapDecisif","5,6",https://www.linkedin.com/company/12587153,2018,11-50,34,incepto-medical.com,https://incepto-medical.com/,,,-,n.a.,-
Ermium Therapeutics,02L7BZMXB,-,n.a.,-,Med / Biotech,Med / Biotech,Produit,B2C,"Domain Therapeutics, Kurma Partners, Idinvest Partners, Erganeo","6,3",https://www.linkedin.com/company/ermium-therapeutics/,n.a.,2-10,40,ermium.com,https://ermium.com/,,,-,n.a.,-
Santiane,02Jnd8Nsi,23,"4,2",-,Fintech,Courtier Comparateur Mutuelle : un devis ...,Service,B2C,-,,https://www.linkedin.com/company/4986742,2006,201-500,-,santiane.fr,http://www.santiane.fr/,,p.nom@santiane.fr,-,n.a.,-
Igyxos,02N5I8txK,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"Bpifrance, Go Capital, Sofimac Innovation","7,5",https://www.linkedin.com/company/igyxos/about/,n.a.,2-10,43,gyxos.com,http://www.igyxos.com/,,,-,n.a.,-
TreeFrog Therapeutics,01yCi2N26,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,"XAnge, Galia Gestion, Irdi Soridec, Aquiti Gestion, la SATT Aquitaine","7,1",https://www.linkedin.com/company/13021169,2018,11-50,43,treefrog.fr,https://treefrog.fr/,,,-,n.a.,-
Scality,02TunL0Bf,80,"4,1",FT 120,Data,The Leading Data Storage Solution,SaaS,B2B,-,,https://www.linkedin.com/company/scality/,2009,51-200,19,scality.com,https://www.scality.com/,,,-,n.a.,-
Schoolab,02SCyYI,10,"4,5",-,Edtech,Nous révelons les potentiels humains pour créer et nourrir l'innovation dans les Entreprises.,Service,B2B,French Tech Accélération,"10,0",https://www.linkedin.com/company/10021113,1995,11-50,55,theschoolab.com,https://theschoolab.com/,,prénom@theschoolab.com,-,n.a.,-
Sensome,01yChqzUQ,1,5,-,Med / Biotech,Med / Biotech,Produit,B2C,"Kurma Partners, Idinvest, BNP Paribas Développement, Paris-Saclay Seed Fund, Asahi Intecc Co","8,0",https://www.linkedin.com/company/sensome/,2014,11-50,46,sensome.com,https://www.sensome.com/,,,-,n.a.,-
Biolog-id,02FGOJBOQ,-,n.a.,FT 120,Med / Biotech,"Biolog-id est la solution de santé connectée, pour gérer et tracer les produits thérapeutiques sensibles.",Service,B2B,-,,https://www.linkedin.com/company/3478581,2005,11-50,,biolog-id.com,http://www.biolog-id.com,,,-,n.a.,-
ENYO Pharma,01yCiRpgk,-,n.a.,FT 120,Med / Biotech,Biotech au stade clinique ayant une plateforme unique de drug discovery inspirée par les virus.,Autres,B2C,-,,https://www.linkedin.com/company/enyo-pharma/,2014,11-50,,nyopharma.com,http://www.enyopharma.com/fr/,,,-,n.a.,-
HighLife,02Tv8gkkM,-,n.a.,FT 120,Med / Biotech,"The HighLife Mitral Valve Replacement System consists of two components, a valve prosthesis and a ring shaped Sub-Annular Implant (SAI).",Autres,B2B,-,,https://www.linkedin.com/company/highlifemedical/,2010,11-50,,ighlifemedical.com,http://www.highlifemedical.com/,,,-,n.a.,-
LimFlow,01yCiOn9c,-,n.a.,FT 120,Med / Biotech,Med / Biotech,Produit,B2C,-,,https://www.linkedin.com/company/11025573,2012,11-50,,limflow.com,http://www.limflow.com/home/,,,-,n.a.,-
Sencrop,02LkEkdkF,-,n.a.,-,Agritech,"La Station Agro-Météo Connectée, Accessible à tous",SaaS,B2B,"bpifrance, NCI Waterstart, Nord Capital Partenaires, The Yield Lab, Demeter, Breega Capital","8,7",https://www.linkedin.com/company/sencrop/,2016,51-200,3,sencrop.com,http://www.sencrop.com,,,-,n.a.,-
Sendinblue,01yCiOwok,40,"4,5",Next 40,Marketing,Tous vos outils marketing digital,SaaS,B2B,-,,https://www.linkedin.com/company/2346309,2010,51-200,-,sendinblue.com,https://www.sendinblue.com/,,prénom@sendinblue.com,10-25M€,n.a.,-
Pony,02Ne3ioaR,-,n.a.,-,Mobilité,Vélos & trottinettes partagées,Service,B2C,"Demeter, Kima Ventures","2,2",https://www.linkedin.com/company/getapony/,2017,11-50,15,getapony.com,https://getapony.com/,,,-,n.a.,-
MyBus,02EK8ApbI,-,n.a.,-,Mobilité,Mon assistant malin pour les transports en commun,Service,B2C,"EDF Pulse Croissance, la Banque des Territoires (groupe CDC), le fonds Jeremie Innovation 2, le Crédit Agricole Loire Haute-Loire","2,4",https://www.linkedin.com/company/mybus./,2015,11-50,17,mybus.io,https://www.mybus.io/,,,-,n.a.,-
Pop Valet,02Ne3FDpz,-,n.a.,-,Mobilité,Solution de logistique automobile à la demande,Service,B2B,"Groupe IMA, Maif Avenir","2,5",https://www.linkedin.com/company/pop-valet/,2015,11-50,18,popvalet.com,https://popvalet.com/,,,-,n.a.,-
CapCar,02Ne2EcAf,-,n.a.,-,Mobilité,"Voiture occasion : acheter ou vendre son auto au meilleur prix.
",Marketplace,B2C,"Breega, 123-Investment Managers, Idinvest Partners","5,0",https://www.linkedin.com/company/11860343,2015,11-50,29,capcar.fr,https://www.capcar.fr,,,-,n.a.,-
Seyna,02Q2bQ4,-,n.a.,-,Fintech,Créateurs d'assurance - Pour mieux couvrir les soucis du quotidien,Autres,B2B,"Global Founders Capital, Allianz France, Financière Saint James","14,0",https://www.linkedin.com/company/seyna-insurance/,2018,11-50,80,seyna.eu/fr,https://seyna.eu/fr/,,,-,n.a.,-
Sézane,01yCiOwrQ,6,"4,2",Top Linkedin,Ecommerce,"Bienvenue sur l'e-shop Sézane. Marque engagée pour Demain et une mode plus durable, imaginée par Morgane Sézalory.",Produit,B2C,-,,https://www.linkedin.com/company/18960538,2013,201-500,-,sezane.com,https://www.sezane.com,,,-,n.a.,-
Ecov,02Ne47Zzt,-,n.a.,-,Mobilité,"ecov, covoiturer... comme on prend le bus",Marketplace,B2C,-,"5,0",https://www.linkedin.com/company/ecov/,1999,11-50,30,ecov.fr,https://www.ecov.fr/,,,-,n.a.,-
Zoov,02Ne2nxio,-,n.a.,-,Mobilité,Le vélo électrique en libre-service qui respecte la ville,Service,B2C,"daphni, C4 Ventures, Road Ventures, BNP Paribas Développement","6,0",https://www.linkedin.com/company/11149080,2017,11-50,38,zoov.eu,https://www.zoov.eu,,,-,n.a.,-
Shift Technology,01yCi1B,12,"4,1",Next 40,Cybersécurité,Les solutions SaaS fondées sur l'IA de Shift aident les assureurs à vaincre la fraude,SaaS,B2B,"Bessemer Venture Partners, Accel, General Catalyst, Iris Capital, Elaia","53,0",https://www.linkedin.com/company/shift-technology/,2014,201-500,-,shift-technology.com,https://www.shift-technology.com/fr/,,,-,n.a.,-
Shine,01yChsixK,13,5,-,Fintech,Le compte pro idéal - pour les entrepreneurs‎,SaaS,B2B,-,,https://www.linkedin.com/company/shine-tools/,2017,51-200,30,shine.fr,http://www.shine.fr,,,-,n.a.,-
Toosla,02Ne3zpYo,2,3,-,Mobilité,La voiture que vous choisissez est la voiture que vous aurez - sans attente - sans agence.,Service,B2C,"Karot Capital, ACOFI","8,0",https://www.linkedin.com/company/toosla/,2016,2-10,47,toosla.com,https://www.toosla.com/,,,-,n.a.,-
Bp2r,02Ne2Afnx,-,n.a.,-,Mobilité,"bp2r c'est un savoir-faire en Ingénierie de Flux, en Achats, en Plateformes Digitales et en Logiciels Transport. ",SaaS,B2B,Calcium Capital,"5,0",https://www.linkedin.com/company/bp2r/,2005,11-50,-,bp2r.eu,https://bp2r.eu/,,,-,n.a.,-
Cityscoot,02Q2Y3q,2,3,Next 40,Mobilité,Les e-Scooters en libre accès‎,Service,B2C,-,,https://www.linkedin.com/company/10175775,2014,11-50,-,cityscoot.eu,http://www.cityscoot.eu,,p.nom@cityscoot.eu,-,n.a.,-
EasyMile,01yCiPLY8,-,n.a.,FT 120,Mobilité,"Autonomous future, today",Produit,B2B,-,,https://www.linkedin.com/company/9175916,2014,11-50,-,easymile.com,http://www.easymile.com,,prénom.nom@easymile.com,-,n.a.,-
Sanilea,02Ne2aRFD,-,n.a.,-,Mobilité,Leader de l'organisation du transport sanitaire en France. ,SaaS,B2B,"Extens, Aquiti Gestion","2,5",https://www.linkedin.com/company/sanilea/,2013,11-50,-,sanilea.fr,https://www.sanilea.fr/,,,-,n.a.,-
Side,01yCiOTAX,-,n.a.,-,RH,La plateforme qui remplace vos agences intérim,Marketplace,B2B,-,,https://www.linkedin.com/company/10932854,2015,51-200,,side.co,https://www.side.co/fr/,,prénom@side.co,-,n.a.,-
Sigfox,02SCySP,45,"3,1",Next 40,Telecom,The world's leading service provider for Internet of Things (IoT).,Produit,B2B,-,,https://www.linkedin.com/company/2731408,2009,51-200,,sigfox.com,http://www.sigfox.com,,,-,n.a.,-
Shipfix,02Ne2Yo7Z,-,n.a.,-,Mobilité,Building the Shipping Community around Data,SaaS,B2B,"Kima Ventures, Bpifrance, Idinvest Partners, The Family","4,0",https://www.linkedin.com/company/shipfix/,2018,11-50,-,shipfix.com,https://shipfix.com/,,,-,n.a.,-
Simplebo,02N5I8t17,17,5,-,Marketing,réation de site internet professionnel …,SaaS,B2B,-,,https://www.linkedin.com/company/2977026,2013,11-50,-,simplebo.fr,https://www.simplebo.fr/,,prénom@simplebo.fr,-,n.a.,-
Simplifield,01yChnjcU,21,"4,5",-,Retail,"La solution intelligente des équipes siège et terrain pour atteindre l’excellence opérationnelle et améliorer la performance en continu.
",SaaS,B2B,"Five Elms Capital, Cap Horn, Runa Capital","9,9",https://www.linkedin.com/company/simplifield/,2013,51-200,-,simplifield.com,https://www.simplifield.com/,,,-,n.a.,-
Simplon.co,01m4RPM,-,n.a.,-,Edtech,Réseau de Fabriques solidaires et inclusives qui proposent des formations gratuites aux métiers techniques du numérique en France et à l’étranger,Service,B2C,"La Caisse des Dépôts, Amundi, Aviva Impact Investing, Esfin Gestion, France Active Investissement, Inco, Mirova, Phitrust Partenaires Europe","12,0",https://www.linkedin.com/company/simplon-co/,2013,51-200,67,simplon.co,https://simplon.co/,,,-,n.a.,-
Yousign,02Ne3pzzt,3,5,-,Mobilité,Signature électronique - Légale et Simple d’utilisation‎,SaaS,B2B,-,,https://www.linkedin.com/company/2900651,2013,2-10,-,yousign.com,https://yousign.com,,"prénom.nom@yousign.com, prénom@yousign.fr",-,n.a.,-
Little Cigogne,02FGOJBDD,-,n.a.,-,Retail,Le service qui simplifie le shopping des parents !,Service,B2C,"ACG Management, Entheos","2,2",https://www.linkedin.com/company/little-cigogne/,2012,11-50,15,littlecigogne.com,https://www.littlecigogne.com/,,,-,n.a.,-
Skello ,02Q2LxKls,-,n.a.,-,RH,Logiciel de gestion de planning et de personnel en ligne,SaaS,B2B,-,,https://www.linkedin.com/company/skello/,2016,51-200,,skello.io,https://www.skello.io/,,,-,n.a.,-
Slite,01yCiPLlB,4,5,-,RH,One Combined Workspace. All Your Team Documentation.,SaaS,B2B,Spark Capital,"10,0",https://www.linkedin.com/company/11163379,2016,11-50,,slite.com,https://slite.com/,,,-,n.a.,-
Smaaart,01yCi0k,-,n.a.,-,Greentech,Smartphone Reconditionné,Marketplace,B2C,Quadia,"2,0",https://www.linkedin.com/showcase/smaaart-by-sofi-groupe/,1986,51-200,13,smaaart.fr,https://smaaart.fr/,,,-,n.a.,-
Airfree,01m4ROQAZ,-,n.a.,-,Retail,N°1 du Bio en Ligne‎,Marketplace,B2C,"Shiseido, Starburst","2,3",https://www.linkedin.com/company/airfree/,2016,2-10,16,airfree.aero,https://airfree.aero/,,,-,n.a.,-
My Retail Box,02FGODDiC,-,n.a.,-,Retail,Premier opérateur Européen de la vente en vrac,Marketplace,B2C,Amundi Finance et Solidarité,"7,0",https://www.linkedin.com/company/my-retail-box-bulk/,2013,11-50,40,my-retail-box.com,https://my-retail-box.com/,,,-,n.a.,-
Evermaps,01yCiRpr9,-,n.a.,-,Retail,Libérez la performance de vos points de vente,SaaS,B2B,Entrepreneur Venture,"5,0",https://www.linkedin.com/company/evermapsfr/,2007,11-50,-,evermaps.com,https://www.evermaps.com/,,,-,n.a.,-
Snips (Acquired by Sonos),01yChoNkJ,9,"4,9",Top Linkedin,Deeptech,Assistant vocal français Snips,Produit,B2C,-,,https://www.linkedin.com/company/snips/,2013,51-200,,snips.ai,https://snips.ai/,,,-,n.a.,-
Snowleader,01yChpg,-,n.a.,-,Ecommerce,"Snowleader vous propose la vente en ligne d'équipement pour le ski et pour le snowboard, de streetwear, de matériel et de vêtements pour la montagne.",Produit,B2C,"123 IM, BNP Paribas Développement, Sofimac Régions","10,0",https://www.linkedin.com/company/snowleader/,2008,51-200,54,snowball.substack.com,https://snowball.substack.com/,,,-,n.a.,-
Heuritech,01yChr9nj,-,n.a.,-,Retail,Solution de prévision des tendances pour la mode ...,SaaS,B2B,"Elaia, Serena","4,0",https://www.linkedin.com/company/3518513,2013,11-50,-,heuritech.com,http://heuritech.com,,prénom.nom@heuritech.com,-,n.a.,-
IPM France,01yCiTLOn,-,n.a.,FT 120,Retail,Fabrication borne tactile standard et sur mesure,Produit,B2B,-,,https://www.linkedin.com/company/998875,2001,11-50,-,ipmfrance.fr,http://www.ipmfrance.fr,,,-,n.a.,-
MyTraffic,02EK8AZRp,-,n.a.,-,Retail,Un Retail plus performant,SaaS,B2B,Business angels,"3,0",https://www.linkedin.com/company/13224055,2016,11-50,-,mytraffic.io,http://www.mytraffic.io,,,-,n.a.,-
Weblib,01vgRiCmI,4,"3,7",-,Retail,"Social wifi et tablette en magasin, outil d'analyse et ...",SaaS,B2B,"Banque Wormser Frères, Caisse d’Epargne Île-de-France, Starquest Capital, LCL, Bpifrance","3,0",https://www.linkedin.com/company/weblib.fr/,2009,11-50,-,weblib.fr,https://www.weblib.fr/,,,-,n.a.,-
Wizbii,02IZAka29,10,"4,6",-,RH,La 1ère plateforme professionnelle pour l'emploi des jeunes,Marketplace,B2B,"Matmut Innovation, Swen Capital, Alliance Entreprendre","2,5",https://www.linkedin.com/company/1578869,2010,11-50,18,corpo.wizbii.com,https://corpo.wizbii.com/,,,-,n.a.,-
Spendesk,01yChmC,35,5,FT 120,Fintech,"Spendesk est la solution de gestion qui apporte contrôle & visibilité sur tout le processus de dépenses, et automatise les tâches administratives chronophages.",SaaS,B2B,Index Ventures,"35,0",https://www.linkedin.com/company/10554832,2016,11-50,29,spendesk.com,https://www.spendesk.com,,prénom@spendesk.com,-,n.a.,-
Splio,02EK8Bokd,29,"4,1",FT 120,Foodtech,La plateforme marketing omnicanale,SaaS,B2B,"Ring Capital, Swen, Amundi PEF","10,0",https://www.linkedin.com/company/800821,2001,51-200,32,splio.com,https://www.splio.com,,prénom@gowento.com,25-50M€,n.a.,-
Splio (ex Gowento),02L7XGuXx,-,n.a.,-,Marketing,Splio Mobile Wallets - Canal de communication mobile,Autres,B2B,-,,https://www.linkedin.com/company/splio/,2001,51-200,,splio.co,https://www.splio.com,,,-,n.a.,-
Sqreen,01yCi1F,5,5,-,Cybersécurité,Application Security Management Platform,SaaS,B2B,"Greylock Partners, Y Combinator, Alven, Point Nine","12,5",https://www.linkedin.com/company/sqreen/,2015,11-50,15,sqreen.com,https://www.sqreen.com/,,,-,n.a.,-
Crème de la Crème,02IZAkC1B,9,"4,3",-,RH,"Chaque jour, freelances et entreprises innovantes démocratisent un nouveau mode de travail.",Marketplace,B2B,Eiffel Investment Group,"3,0",https://www.linkedin.com/company/9478402,2015,2-10,20,cremedelacreme.io,https://cremedelacreme.io,,prénom@cremedelacreme.io,-,n.a.,-
My-Serious-Game,02IZAkMOn,-,n.a.,-,RH,Logiciel auteur Serious Game‎,Service,B2B,"Go Capital, Galia Gestion, A Plus Finance, BNP Paribas, bpifrance, la région Centre-Val de Loire","3,0",https://fr.linkedin.com/company/my-serious-game,2014,11-50,21,my-serious-game.com,https://www.my-serious-game.com/,,,-,n.a.,-
Stripe,02Q2Lls2N,-,n.a.,-,Fintech,Traitement des paiements en ligne pour les entreprises sur Internet.,SaaS,B2B,-,,https://www.linkedin.com/company/2135371,2010,201-500,-,stripe.com,https://stripe.com,,prénom@stripe.com,-,n.a.,-
Stuart,02Q2bkn26,80,"4,4",-,logistique,Livraison Jour J ou J+1 à la demande,Service,B2B,-,,https://www.linkedin.com/company/10001375,2015,51-200,,stuart.com,http://www.stuart.com,,p.nom@stuart.com,-,n.a.,-
Chance,01yChlBL0,-,n.a.,-,RH,Reconversion professionnelle,Service,B2C,Zulu Group,"5,6",https://www.linkedin.com/company/162993,2015,11-50,34,chance.co,https://www.chance.co,,,-,n.a.,-
Student Pop,02Q2bQ4Lh,12,"4,2",-,Edtech,"Student Pop met à votre disposition des étudiants briefés et motivés pour vos besoins événementiels, commerciaux, administratifs",Marketplace,B2B,-,,https://www.linkedin.com/company/10196857,2016,51-200,,studentpop.fr,https://www.studentpop.fr/,https://www.welcometothejungle.com/fr/companies/student-pop,prénom@studentpop.fr,-,n.a.,-
Avizio,02SCyKLQv,-,n.a.,-,RH,Recrutement pour Startups & Entreprises,Service,B2B,-,,https://www.linkedin.com/company/avizio/,2019,2-10,-,aviz.io,https://www.aviz.io/,,,-,n.a.,-
Swapcard,01yCi2Nxn,15,"4,8",-,Fintech,Plateforme intelligente pour événements virtuels et physiques.,SaaS,B2B,-,,https://www.linkedin.com/company/3177729,2013,11-50,31,swapcard.com,https://www.swapcard.com,,prénom@swapcard.com,-,n.a.,-
Swile (ex Lunchr),01yCi26Io,5,5,-,Fintech,Une carte resto et cadeau‎,SaaS,B2B,-,,https://www.linkedin.com/company/37538898,2017,201-500,-,swile.co,http://www.swile.co,,"prénom.nom@swile.co, prénom@lunchr.fr",-,n.a.,-
